Provinsi,Jemaah Haji
Aceh,4407
Sumatera Utara,8290
Sumatera Barat,4643
Riau,5036
Jambi,2898
Sumatera Selatan,7045
Bengkulu,1622
Lampung,7045
Kepulauan Bangka Belitung,1067
Kepulauan Riau,1263
DKI Jakarta,7970
Jawa Barat,38659
Jawa Tengah,30375
DI Yogyakarta,3176
Jawa Timur,35286
Banten,9423
Bali,694
Nusa Tenggara Barat,4510
Nusa Tenggara Timur,653
Kalimantan Barat,2520
Kalimantan Tengah,1603
Kalimantan Selatan,3825
Kalimantan Timur,2569
Kalimantan Utara,419
Sulawesi Utara,688
Sulawesi Tengah,1980
Sulawesi Selatan,7327
Sulawesi Tenggara,2015
Gorontalo,978
Sulawesi Barat,1449
Maluku,1070
Maluku Utara,1071
Papua Barat,718
Papua,1057
Indonesia,203351
,
Catatan,
<sup>1 </sup>   Melalui Kementerian Agama/<i>Managed by Ministry of Religious Affairs</i>,