Kepolisian Daerah,
,Risiko Penduduk Terkena Tindak Pidana (Per 100.000 Penduduk)
,2018
ACEH,169
SUMATERA UTARA,231
SUMATERA BARAT,243
RIAU,109
JAMBI,180
SUMATERA SELATAN,164
BENGKULU,175
LAMPUNG,108
KEP. BANGKA BELITUNG,143
KEP. RIAU,164
METRO JAYA,137
JAWA BARAT,42
JAWA TENGAH,27
DI YOGYAKARTA,179
JAWA TIMUR,67
BANTEN,54
BALI,76
NUSA TENGGARA BARAT,130
NUSA TENGGARA TIMUR,118
KALIMANTAN BARAT,118
KALIMANTAN TENGAH,102
KALIMANTAN SELATAN,138
KALIMANTAN TIMUR,176
KALIMANTAN UTARA,57
SULAWESI UTARA,416
SULAWESI TENGAH,316
SULAWESI SELATAN,255
SULAWESI TENGGARA,49
GORONTALO,243
SULAWESI BARAT,144
MALUKU,158
MALUKU UTARA,60
PAPUA BARAT,380
PAPUA,224
INDONESIA,113